"候補識別情報","配置","ファイル種別","関連する既知ファイル","関連する未解決事項","候補とした根拠","既存調査との関係","推定される役割","確度","内容調査の期待効果","調査リスク","優先度","候補群","次段階で推奨する確認内容"
"C:\fchart\chokan\taisei\D011107J.csv","C:\fchart\chokan\taisei\D011107J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011108J.csv","C:\fchart\chokan\taisei\D011108J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011109J.csv","C:\fchart\chokan\taisei\D011109J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011112J.csv","C:\fchart\chokan\taisei\D011112J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011113J.csv","C:\fchart\chokan\taisei\D011113J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011114J.csv","C:\fchart\chokan\taisei\D011114J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011115J.csv","C:\fchart\chokan\taisei\D011115J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011116J.csv","C:\fchart\chokan\taisei\D011116J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011119J.csv","C:\fchart\chokan\taisei\D011119J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011120J.csv","C:\fchart\chokan\taisei\D011120J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011121J.csv","C:\fchart\chokan\taisei\D011121J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011122J.csv","C:\fchart\chokan\taisei\D011122J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011126J.csv","C:\fchart\chokan\taisei\D011126J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011127J.csv","C:\fchart\chokan\taisei\D011127J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011128J.csv","C:\fchart\chokan\taisei\D011128J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011129J.csv","C:\fchart\chokan\taisei\D011129J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011130J.csv","C:\fchart\chokan\taisei\D011130J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011203J.csv","C:\fchart\chokan\taisei\D011203J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011204J.csv","C:\fchart\chokan\taisei\D011204J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011205J.csv","C:\fchart\chokan\taisei\D011205J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011206J.csv","C:\fchart\chokan\taisei\D011206J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011207J.csv","C:\fchart\chokan\taisei\D011207J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011210J.csv","C:\fchart\chokan\taisei\D011210J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011211F.csv","C:\fchart\chokan\taisei\D011211F.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011211J.csv","C:\fchart\chokan\taisei\D011211J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011212F.csv","C:\fchart\chokan\taisei\D011212F.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011212J.csv","C:\fchart\chokan\taisei\D011212J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011213J.csv","C:\fchart\chokan\taisei\D011213J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011214J.csv","C:\fchart\chokan\taisei\D011214J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011217J.csv","C:\fchart\chokan\taisei\D011217J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011218J.csv","C:\fchart\chokan\taisei\D011218J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011219J.csv","C:\fchart\chokan\taisei\D011219J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011220J.csv","C:\fchart\chokan\taisei\D011220J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011221J.csv","C:\fchart\chokan\taisei\D011221J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011225J.csv","C:\fchart\chokan\taisei\D011225J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011226J.csv","C:\fchart\chokan\taisei\D011226J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011227J.csv","C:\fchart\chokan\taisei\D011227J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D011228J.csv","C:\fchart\chokan\taisei\D011228J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D020104J.csv","C:\fchart\chokan\taisei\D020104J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D020107J.csv","C:\fchart\chokan\taisei\D020107J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D020108J.csv","C:\fchart\chokan\taisei\D020108J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D020109J.csv","C:\fchart\chokan\taisei\D020109J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D020110J.csv","C:\fchart\chokan\taisei\D020110J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\taisei\D020111J.csv","C:\fchart\chokan\taisei\D020111J.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
